name,Eligibility,Region,Deadline,Award,Description,Email,Contact Number,link,category,Links,contactDetails
TWAS-CNPq Postgraduate Fellowship Programme  2025,Graduates in Natural Sciences,Brazil,Closed,"BRL 3,100 per month with other benefits","TWAS-CNPq Postgraduate Fellowship Programme 2025 is a combined initiative programme for researchers from developing countries (except Brazil), by The National Council for Scientific and Technological Development - CNPq and The World Academy of Sciences (TWAS). TWAS is a programme unit whose administration and financial operation is carried out by UNESCO, in accordance with an agreement signed between the two organisations. Selected awardees will be awarded monthly fees of BRL 3,100 with other benefits.Source:The World Academy of Sciences",fellowships@twas.org,+39 040 2240-687,https://twas.org/,other,"{'Original website': 'https://twas.org/', 'Apply online link': 'https://twas.org/opportunity/twas-cnpq-postgraduate-fellowship-programme'}","TWAS Fellowships Office
ICTP Campus, Strada Costiera 11
34151 Trieste, Italy
E-mail:
fellowships@twas.org
| Phone Number:
+39 040 2240-687"
"Post-Matric Scholarship to Lower Income Group Students, Haryana 2024-25",Students studying at post-matric level,India,Closed,"Maintenance charges, fees and expenses on approved study loans and typing/printing of thesis","Post-Matric Scholarship to Lower Income Group Students, Haryana 2024-25 is an opportunity offered by the Directorate of Higher Education, Haryana government to the students of Haryana studying at the post-matriculation level. The scheme aims to provide financial assistance to students from lower-income groups to enable them to complete their education. The selected students will receive maintenance charges, fees & expenses on approved study loans and other benefits.Source:Directorate of Higher Education",cru-sec.he@hry.gov.in,Null,https://harchhatravratti.highereduhry.ac.in/,tuition_waiver,"{'Latest scholarship link': 'https://harchhatravratti.highereduhry.ac.in/Notices/Lower%20Income%20Group%20Scheme.pdf', 'Apply online link': 'https://harchhatravratti.highereduhry.ac.in/'}","Directorate of Higher Education
Shiksha Sadan, Ground & 1st Floor, Sec - 5,
Panchkula, Haryana - 134105
Email ID:
cru-sec.he@hry.gov.in"
Dr Gita Piramal Graduate Scholarship 2025,Indian graduate students,India,Closed,"Course fees, living and travel expenses","Dr Gita Piramal Graduate Scholarship 2025 is an opportunity offered by Somerville College, Oxford University to graduate students from India pursuing a master's in sustainability science and development degree courses. The scholarship aims to elevate meritorious Indian students from financially disadvantaged backgrounds. The selected candidates will receive course fees and additional grants to cover living and travel expenses.Source:Somerville College",enquiries@some.ox.ac.uk,1865 270600,https://www.some.ox.ac.uk/,mixed,"{'Apply online link': 'https://www.some.ox.ac.uk/the-oicsd/scholarships/dr-gita-piramal-scholarship/', 'Original website': 'https://www.some.ox.ac.uk/'}","Somerville College
Woodstock Road, Oxford, OX2 6HD
Email ID:
enquiries@some.ox.ac.uk
| Phone Number:
(+44) 1865 270600"
KARM Fellowship 2024-25,Female students studying in Class 12,India,Closed,"College, exam fees and other benefits","KARM Fellowship 2024-25 is an opportunity offered by KARM Trust (a registered public charitable trust) to provide financial assistance to female students who wish to pursue their undergraduate studies at Delhi University. The KARM Fellowship helps selected fellows build their communication, critical thinking, and other career-related skills to ensure a wholesome learning experience, thereby enabling a bright future. The selected fellows will receive college & exam fees, books & commute allowance, laptop & dongle, and various other benefits.Source:KARM Trust",info@karmtrust.org,Null,https://www.karmtrust.org/,tuition_waiver,"{'Original website': 'https://www.karmtrust.org/', 'Apply online link': 'https://www.karmtrust.org/karmfellowshipProgram.html'}","KARM Trust
Email ID:
info@karmtrust.org"
Dalai Lama Fellows Program 2025,Emerging changemakers aged between 20-36 years,Abroad,Closed,Professional leadership development,"Dalai Lama Fellows Program 2025 is an opportunity provided by *Dalai Lama Fellow to emerging changemakers aged between 20-36 years. The fellowship aims to promote personal growth to far wider networks in the ecosystems with which the fellows are engaged. The selected candidates will receive professional leadership development.*Dalai Lama Fellows was established in 2010 with the support of the 14th Dalai Lama. It is an independent, non-sectarian, and inclusive organisation. Starting with a fellowship program, DLF has pioneered the integration of contemplative practices and personal growth with social innovation.Source:Dalai Lama Fellowship",contemplativeleadership@virginia.edu,43498 26057,https://www.dalailamafellows.com/,monetary,"{'Apply online link': 'https://www.dalailamafellows.com/apply#dl-fellowship', 'Original website': 'https://www.dalailamafellows.com/', 'Latest scholarship link': 'https://www.dalailamafellows.com/the-fellowship'}","Dalai Lama Fellows
Email ID:
contemplativeleadership@virginia.edu
| Phone Number: (+1)
43498 26057"
Dr. A. P. J. Abdul Kalam Young Research Fellowship 2024,"Students pursuing/completed undergraduate, postgraduate (M.Sc., MA, M.E.), or PhD in any field related to environmental research",India,Closed,"A fellowship of up to ₹25,000 and a certificate","Dr. A. P. J. Abdul Kalam Young Research Fellowship 2024 is an opportunity provided by the Technology, Education, Research and Rehabilitation for the Environment (TERRE) Policy Center* to students pursuing or have completed undergraduate, postgraduate or Ph.D. degree in any field related to environmental research. The fellowship aims to distinguish young researchers in India who have made significant contributions or have a measurable impact on environmental protection. Selected fellows will receive a fellowship of up to ₹25,000 and a certificate.*TERRE Policy Center is a non-profit, non-partisan, and independent organisation dedicated to sustainable solutions to our developmental challenges.Source:TERRE Policy Center",drabdulkalamfellowship@gmail.com,8999738894,https://www.drkalamfellowship.com/,mixed,"{'Latest scholarship link': 'https://www.drkalamfellowship.com/fellowship.php', 'Apply online link': 'https://www.drkalamfellowship.com/'}","TERRE Policy Centre
Office no- 207, Siddharth Towers No 1
G A Kulkarni Road, Kothrud
Pune - 411038
Email ID:
drabdulkalamfellowship@gmail.com
| Phone Number: (+91)
8999738894, 9834305125"
"Post-Matric Merit Scholarship (PMMS), Mizoram 2024-25",Students pursuing post-matric studies,India,Closed,Financial assistance,"Post Matric Merit Scholarship (PMMS), Mizoram 2024-25 is an opportunity provided by the Mizoram Scholarship Board, Government of Mizoram to students of the state pursuing post-matric studies. The selected candidates will receive financial assistanceSource:Mizoram Scholarship Board",Null,Null,https://msb.mizoram.gov.in/,other,"{'Others': 'https://msb.mizoram.gov.in/post/mizoram-research-fellowship-post-matric-merit-scholarship-application-form-2024-25', 'Apply online link': 'https://msb.mizoram.gov.in/uploads/attachments/2024/08/01c70ba57ad19b3f29f31d1b2570b00f/pmms-form-2024-2025.pdf', 'Original website': 'https://msb.mizoram.gov.in/'}","Mizoram Scholarship Board
Kaisara Rd
Aizawl, Mizoram 796009"
"State SC Scholarship Scheme (Govt ITI), Haryana 2024-25",SC students of Haryana studying in Govt. ITIs,India,Closed,₹200 per month and ₹15 for tuition fees,"State SC Scholarship Scheme (Govt ITI), Haryana 2024-25 is an initiative of the Skill Development & Industrial Training Department, Haryana for SC students of state studying in government ITIs. The main aim of this scheme is to promote the interest of skill development training in SC youths enabling them for self-employment. The selected candidates will receive a monthly stipend of ₹200 and ₹15 per month as tuition fees.Source:Harchhatravratti Portal",Null,Null,https://itiharyana.gov.in/en,mixed,"{'Apply online link': 'https://harchhatravratti.highereduhry.ac.in/Notices/State%20SC%20Scheme%20(Govt%20ITI).pdf', 'Original website': 'https://itiharyana.gov.in/en'}","Skill Development & Industrial Training Department, Haryana"
"Mukhyamantri Hamari Beti Yojana, Rajasthan 2024-25",Female students pursuing Class 11 and 12 or vocational education/training,India,Closed,"A financial assistance of up to ₹1,15,000 annually for Class 11 & 12 or vocational training","Mukhyamantri Hamari Beti Yojana, Rajasthan 2024-25, is a Government of Rajasthan initiative to empower and support meritorious female students who passed the Rajasthan Board's Secondary Exam. Selected students will receive up to ₹1,15,000 annually for Class 11 and 12 or vocational training, including ₹15,000 for stationery and up to ₹1,00,000 for school/coaching/hostel fees.Source:Rajasthan Government",sjd@rajasthan.gov.in,Null,http://education.rajasthan.gov.in/,monetary,"{'Apply online link': 'http://education.rajasthan.gov.in/content/dam/doitassets/education/school%26secondaryeducation/Secondary%20Education/scholorship/04-07-18-MHBY-Scho.pdf', 'Original website': 'http://education.rajasthan.gov.in/'}","Department of Social Justice and Empowerment, Rajasthan
Secretariat, Jaipur, Rajasthan, India – 302005
Email ID:
sjd@rajasthan.gov.in |
Phone Number:
(+91-141)-2222251, 2222795"
"State Stipend Scheme, Arunachal Pradesh 2024",ST students pursuing higher education,India,Closed,"A monthly stipend of ₹1,400 and a book grant of ₹1,000","State Stipend Scheme, Arunachal Pradesh 2024 is an opportunity provided by the Department of Higher and Technical Education, Government of Arunachal Pradesh to Scheduled Tribe students. The scholarship aims to provide financial assistance and enable these students to pursue various higher studies courses approved by the government of Arunachal Pradesh. The selected candidates will receive a monthly stipend of ₹1,400 and a book grant of ₹1,000.Source:Department of Higher and Technical Education",dhearunachal@rediffmail.com,Null,https://scholarships.gov.in/,monetary,"{'Latest scholarship link': 'https://scholarships.gov.in/public/schemeGuidelines/ArunachalPradeshStipendSchemeGuideline.pdf', 'Others': 'https://scholarships.gov.in/All-Scholarships', 'Apply online link': 'https://scholarships.gov.in/'}","Department of Higher and Technical Education
Government of Arunachal Pradesh
Itanagar - 791111
Email ID:
dhearunachal@rediffmail.com
| Phone Number:
(0360) 2214416"
Vidyadhan All India Degree Program 2024,Undergraduate degree students,India,Closed,"Scholarship ranging between ₹40,000 to ₹55,000 per annum","Vidyadhan All India Degree Program 2024 is an opportunity offered by the *Sarojini Damodaran Foundation to students pursuing graduation courses in a recognised institution across India.The selected students will receive a scholarship ranging from ₹40,000 to ₹55,000 per annum, depending on the state, course, duration, etc.*Sarojini Damodaran Foundation was established in 1999 by SD Shibulal (Co-founder and former CEO of Infosys) and Kumari Shibulal (Sarojini Damodaran Foundation). It aims to financially support and transform the lives of underprivileged students by contributing to their higher education.Source:Vidyadhan",vidyadhan.karnataka@sdfoundationindia.com,9663517131,https://www.vidyadhan.org/,monetary,"{'Apply online link': 'https://www.vidyadhan.org/apply', 'Original website': 'https://www.vidyadhan.org/'}","Sarojini Damodaran Foundation
678, 11th Main Road
4th T Block East, 4th Block
Jayanagar, Bengaluru
Karnataka - 560041
Email ID:
vidyadhan.karnataka@sdfoundationindia.com
| Phone Number:
(+91)- 9663517131"
"Post-Matric Scholarship for SC Students, Haryana 2024-25",SC category students of Haryana studying in Class 11 to Postdoctoral level,India,Closed,"An academic allowance of up to ₹13,500 and other benefits","Post-Matric Scholarship for SC Students, Haryana 2024-25 is an opportunity offered by the Directorate of Higher Education, Haryana to SC students of the state who are studying at the post-matric or post-secondary level of education. The objective of this scheme is to significantly increase the Gross Enrolment Ratio of SC students in higher education, particularly those from economically weaker households by providing them financial assistance. The selected students will receive an academic allowance of up to ₹13,500 and other benefits.Source:Harchhatravratti Portal",cru-sec.he@hry.gov.in,Null,https://harchhatravratti.highereduhry.ac.in/Index,monetary,"{'Latest scholarship link': 'https://harchhatravratti.highereduhry.ac.in/Notices/PMS%20SC%20Guidelines%20March2021.pdf', 'Apply online link': 'https://harchhatravratti.highereduhry.ac.in/Index'}","Directorate of Higher Education
Shiksha Sadan, Ground & 1st Floor, Sector - 5,
Panchkula, Haryana - 134105
Email ID:
cru-sec.he@hry.gov.in"
"Free Books Scheme for SC Students, Haryana 2024-25",Scheduled Caste (SC) students of Haryana,India,Closed,"A monthly stipend of ₹1,000 & ₹2,000 per student for the purchase of books","Free Books Scheme for SC Students, Haryana 2024-25 is an opportunity offered by the Department of Welfare of Scheduled Caste & Backward Classes, Government of Haryana, to promote higher education among the Scheduled Caste (SC) community students of the state. Selected students will receive an amount of ₹2,000 per student for the purchase of books and a monthly stipend of ₹1,000.Source:Harchhatravratti Portal",dbcharyana@gmail.com,0172-2565530,https://harchhatravratti.highereduhry.ac.in/Index,monetary,"{'Apply online link': 'https://harchhatravratti.highereduhry.ac.in/Index', 'Latest scholarship link': 'https://harchhatravratti.highereduhry.ac.in/Notices/Consolidate%20Stipend%20and%20Free%20Books%20to%20SC%20Students%20Scheme.pdf'}","Directorate of Welfare of Scheduled Caste & Backward Classes, Government of Haryana
Bays No. 53-54, Kalyan Bhawan, Sector - 2,
Panchkula- 134109
Haryana, India
Email ID:
dbcharyana@gmail.com |
Phone Number:
(0172)-2564006 (DG office), 2564041, 2561874, 2567009
For scholarship related query:
Har Chhatravratti Portal
Directorate of Higher Education, Haryana
Shiksha Sadan, Ground & 1st Floor, Sec - 5, Panchkula, Haryana (134105)
Email ID:
helpdeskscholarshiphry@gmail.com |
Phone Number:
(+91) 0172-2565530"
"Post-Matric Scholarship for BC, EWS, and DNT Students, Haryana 2024-25","BC, EWS & DNT category students of Class 11 and above",India,Closed,"An annual academic allowance and tuition fees of up to ₹10,000","Post-Matric Scholarship for BC, EWS, and DNT Students, Haryana 2024-25 is an opportunity offered by the Department of Welfare of Scheduled Caste & Backward Classes, Government of Haryana. The scheme aims to provide financial assistance to students belonging to the BC, EWS, and DNT communities of the state who are studying at the post-matric level of education. The selected candidates will receive an annual academic allowance and tuition fees of up to ₹10,000.Source:Harchhatravratti Portal",dbcharyana@gmail.com,0172-2565530,https://harchhatravratti.highereduhry.ac.in/Index,mixed,"{'Apply online link': 'https://harchhatravratti.highereduhry.ac.in/Index', 'Latest scholarship link': 'https://harchhatravratti.highereduhry.ac.in/Notices/PMS%20BC%20EWS%20DNT.pdf'}","Directorate of Welfare of Scheduled Caste & Backward Classes, Government of Haryana
Bays No. 53-54, Kalyan Bhawan, Sector - 2,
Panchkula- 134109
Haryana, India
Email ID:
dbcharyana@gmail.com |
Phone Number:
(0172)-2564006 (DG office), 2564041, 2561874, 2567009
For scholarship related query:
Har Chhatravratti Portal
Directorate of Higher Education, Haryana
Shiksha Sadan, Ground & 1st Floor, Sec - 5, Panchkula, Haryana (134105)
Email ID:
helpdeskscholarshiphry@gmail.com |
Phone Number:
(+91) 0172-2565530"
"Kalibai Bheel Medhavi Chhatra Scooty Yojana, Rajasthan 2024-25",Class 12 passed female students,India,Closed,Free of Cost Scooty and other benefits,"Kalibai Bheel Medhavi Chhatra Scooty Yojana, Rajasthan 2024-25 is an initiative by the Department of Higher & Technical Education, Government of Rajasthan for Class 12 passed female students belonging to Rajasthan. The objective of this scheme is to provide recognition to students with exceptional academic backgrounds. The selected female students will receive a scooty as an award.Source:Department of Higher & Technical Education, Government of Rajasthan",dce.oap@gmail.com,Null,https://hte.rajasthan.gov.in/,other,"{'Apply online link': 'https://hte.rajasthan.gov.in/', 'Latest scholarship link': 'https://hte.rajasthan.gov.in/online-scholarship'}","Radhakrishnan Shiksha Sankul,
Jawahar Lal Nehru Marg,
Jaipur, Rajasthan 302015
Email ID:
dce.oap@gmail.com |
Phone Number:
(0141)-2706106"
Haryana State Meritorious Incentive Scheme 2024-25,Undergraduate & Postgraduate students from General & Scheduled Caste (SC) category,India,Closed,"Up to ₹5,000 per annum","Haryana State Meritorious Incentive Scheme 2024-25 is an opportunity offered by the Directorate of Higher Education, Haryana to undergraduate and postgraduate students belonging to the general and scheduled caste category students of Haryana. The objective of the scheme is to encourage meritorious students who are studying in the government colleges of the state. The selected candidates will receive a scholarship of up to ₹5,000 per annum.Source:Harchhatravratti",cru-sec.he@hry.gov.in,Null,https://harchhatravratti.highereduhry.ac.in/Index,monetary,"{'Latest scholarship link': 'https://harchhatravratti.highereduhry.ac.in/Notices/Haryana%20State%20Meritorious%20Incentive%20Scheme.pdf', 'Apply online link': 'https://harchhatravratti.highereduhry.ac.in/Index'}","Directorate of Higher Education
Shiksha Sadan, Ground & 1st Floor, Sector - 5,
Panchkula, Haryana -134105
Email ID:
cru-sec.he@hry.gov.in"
"Financial Assistance to SC Students for Pursuing Higher Studies Abroad, Delhi 2024-25",Students pursuing Ph.D./Master's degree course,Abroad,Closed,"A scholarship of ₹5,00,000 per annum","Financial Assistance to SC Students for Pursuing Higher Studies Abroad, Delhi 2024-25 is an opportunity provided by the Department for the Welfare of SC/ST/OBC/Minorities, Government of NCT Delhi, to students pursuing selected Masters and Ph.D. courses. The scholarship aims to provide financial assistance to 100 candidates for pursuing their studies in accredited institutions abroad. The selected candidates will receive a monthly grant of ₹5,000 with additional benefits.Source:Government of Delhi",Null,Null,https://scstwelfare.delhi.gov.in/,monetary,"{'Original website': 'https://scstwelfare.delhi.gov.in/', 'Apply online link': 'https://scstwelfare.delhi.gov.in/sites/default/files/scstwelfare/circulars-orders/abroad.pdf'}","Department for the Welfare of SC/ST/OBC/Minorities
B-Block, 2nd Floor
Vikas Bhawan, I.P. Estate
New Delhi-110002
Phone Number:
(011) 23379512"
Joint Japan/World Bank Graduate Scholarship Program (JJ/WBGSP) 2025,Applicants of selected master’s degree programs,Abroad,Closed,Tuition fees and other benefits,"The Joint Japan/World Bank Graduate Scholarship Program (JJ/WBGSP) 2025 is an opportunity provided by the World Bank Development Economics Vice Presidency (DEC)* and funded by the Government of Japan on an annual basis. The scholarship aims to support applicants of selected master’s degree programs. The selected candidates will receive tuition fees and additional benefits.*The World Bank’s Development Economics Vice Presidency (DEC) offers scholarships to students and young researchers, supporting its mission in capacity development and knowledge sharing in the developing world. Since 1982, DEC’s programs have trained over 7,000 development professionals and scholars, positively impacting their countries and future generations.Source:World Bank Scholarship Program",indiainfo@worldbank.org,Null,https://www.worldbank.org/,tuition_waiver,"{'Original website': 'https://www.worldbank.org/', 'Apply online link': 'https://www.worldbank.org/en/programs/scholarships/jj-wbgsp', 'Others': 'https://www.worldbank.org/en/programs/scholarships'}","The World Bank
1818 H Street
NW Washington, DC
20433 USA
Email ID:
indiainfo@worldbank.org
| Phone Number:
(202) 473-1000/(91-11) 41479301"
"Balika Protsahan Puraskar, Rajasthan 2024-25",Class 12 passed female students of Rajasthan,India,Closed,"A one-time scholarship of ₹5,000 and a certificate","Balika Protsahan Puraskar, Rajasthan 2024-25 is an initiative of the Balika Shiksha Foundation, Rajasthan (NGO) aimed at empowering the education of female students who have qualified the Higher Secondary/Senior Secondary Examination 2024 conducted by the Board of Secondary Education, Rajasthan, Ajmer, and the Swami Vivekananda Model School Higher Secondary Examination. Selected candidates will receive a one-time financial assistance of ₹5,000 and a certificate.Source:Raj Shaladarpan Portal",Null,Null,https://rajshaladarpan.nic.in/,mixed,"{'Apply online link': 'https://rajshaladarpan.nic.in/', 'Latest scholarship link': 'https://rajshaladarpan.nic.in/SD1/BSP/Home/ShowFile.aspx?oid=67172f296b33512ec8e0146b'}","Balika Shiksha Foundation
Dr. S. Radhakrishnan Shiksha Sankul,
Jawahar Lal Nehru Marg
Jaipur, Rajasthan-302015"
"Post-Matric Scholarship for SC Students, Delhi 2024-25",SC students studying in Class 11 and above,India,Closed,"A maintenance allowance up to ₹13,500 per annum and other benefits","Post-Matric Scholarship for SC Students, Delhi 2024-25 is a centrally-sponsored scholarship offered by the Ministry of Social Justice and Empowerment, Government of India, and managed by the Department of Welfare of SC/ST/OBC. The scholarship aims to provide financial help to students studying in Class 11 and onwards, helping them continue their education after high school (college/university). The selected students will receive a maintenance allowance of up to ₹13,500 and other benefits.Source:Welfare of SC/ST, Government of NCT of Delhi",Null,Null,https://scstwelfare.delhi.gov.in/,monetary,"{'Apply online link': 'https://edistrict.delhigovt.nic.in/', 'Latest scholarship link': 'https://socialjustice.gov.in/writereaddata/UploadFile/PMS_for_SCs_Scheme_Guidelines.pdf', 'Original website': 'https://scstwelfare.delhi.gov.in/'}","Department for the Welfare of SC/ST/OBC/Minorities
B-Block, 2nd Floor
Vikas Bhawan, I.P. Estate
New Delhi-110002
Phone Number: (011) 23379512"
"Consolidated Stipend Scheme for Grand Children of Freedom Fighters, Haryana 2024-25",Grandchildren of freedom fighters (3rd generation),India,Closed,"A monthly scholarship of ₹1,000  for 12 months & a one-time books allowance of ₹2,000","Consolidated Stipend Scheme for Grandchildren of Freedom Fighters, Haryana 2024-25 is an opportunity offered by the Directorate of Higher Education, Haryana to honour the grandchildren (3rd-Generation) of freedom fighters of the state. The scholarship aims to encourage these students to pursue higher education. The selected candidates will receive a monthly scholarship of ₹1,000 for a year and a one-time book allowance of ₹2,000.Source:Harchhatravratti Portal",cru-sec.he@hry.gov.in,Null,https://harchhatravratti.highereduhry.ac.in/Index,monetary,"{'Apply online link': 'https://harchhatravratti.highereduhry.ac.in/Index', 'Latest scholarship link': 'https://harchhatravratti.highereduhry.ac.in/Notices/Stipend%20Scheme%20for%20Grand%20Children%20for%20Freedom%20Fighter.pdf'}","Directorate of Higher Education
Shiksha Sadan, Ground & 1st Floor, Sector - 5,
Panchkula, Haryana - 134105
Email ID:
cru-sec.he@hry.gov.in"
"Umbrella Scheme for Education of ST Children Post-Matric Scholarship, Arunachal Pradesh 2024-25",ST students studying in Class 11 and above,India,Closed,"Monthly maintenance allowance of up to ₹1,200 and other benefits","Umbrella Scheme for Education of ST Children Post-Matric Scholarship, Arunachal Pradesh 2024-25 is an initiative of the Ministry of Tribal Affairs, Government of India to provide financial assistance to the students studying in Class 11 and above. This scheme covers professional, technical, non-professional, and non-technical courses at various levels including correspondence courses covering distance and continuing education. The selected candidates will receive a maintenance allowance of ₹ 1,200 and other benefits.Source:National Scholarship Portal",Null,Null,https://scholarships.gov.in/,monetary,"{'Others': 'https://scholarships.gov.in/allschemesdomicile', 'Apply online link': 'https://scholarships.gov.in/', 'Latest scholarship link': 'https://scholarships.gov.in/public/schemeGuidelines/meghalaya/meghalayaPostMatric.pdf'}","Ministry of Tribal Affairs, Government of India
Rajendra Prasad Road,Shastri Bhawan,
New Delhi -110001"
"Pre-Matric Scholarship for SC Students, Delhi 2024-25",SC Students of Class 9 and 10,India,Closed,"A consolidated academic allowance up to ₹7,000 per annum and an extra allowance for disabled students","Pre-Matric Scholarship for SC Students, Delhi 2024-25 is an opportunity provided by the Department for the Welfare of SC/ST/OBC/Minority, Government of NCT of Delhi to provide financial assistance to Scheduled Caste (SC) students who are studying in Class 9 and 10. The key objective of the scholarship is to minimise the incidence of dropout among the SC category of students in the transition from elementary to the secondary stage. The selected students will receive a consolidated academic allowance of up to ₹7,000 per annum and an extra allowance for disabled students.Source:Welfare of SC/ST, Government of NCT of Delhi",Null,Null,https://scstwelfare.delhi.gov.in/,monetary,"{'Apply online link': 'https://edistrict.delhigovt.nic.in/', 'Original website': 'https://scstwelfare.delhi.gov.in/'}","Department for the Welfare of SC/ST/OBC/Minorities
B-Block, 2nd Floor
Vikas Bhawan, I.P. Estate
New Delhi-110002
Phone Number:
(011) 23379512"
"Green Passage Scholarship for Orphans Students, Odisha 2024-25",Students pursuing I.T.I./I.T.C./Polytechnic/Diploma,,Closed,Variable awards,"Green Passage Scholarship for Orphans Students, Odisha 2024-25 is an opportunity provided by the Skill Development & Technical Education Department, Government of Odisha, to the students of Odisha who are studying in I.T.I., I.T.C., Diploma and Polytechnic level. The selected students will receive variable awards.Source:State Scholarship Portal, Odisha",Null,0674-2391319,https://scholarship.odisha.gov.in/,other,"{'Latest scholarship link': 'https://scholarship.odisha.gov.in/website/scholarship-details', 'Apply online link': 'https://scholarship.odisha.gov.in/website/scholarship-details', 'Original website': 'https://scholarship.odisha.gov.in/'}","Skill Development & Technical Education Department
Government of Odisha
2nd Floor, Kharvel Bhavan,
Bhubaneswar, PIN - 751001
Phone Number:
0674-2391319"
Inlaks Fellowship for Social Engagement 2025,Graduate students and early to mid-career professionals,India,Closed,"Up to ₹45,000 per month","Inlaks Fellowship for Social Engagement 2025 is an opportunity offered by the Inlaks Shivdasani Foundation to graduate students and early to mid-career professionals. The fellowship aims to provide an opportunity for the fellows to explore alternatives and make independent choices about their lives while contributing to social change. It also aims to increase participation in public life among young people while encouraging them to challenge the status quo. The selected students will receive up to ₹45,000 per month.Source:Inlaks Shivdasani Foundation",fellowships@inlaksfoundation.org,Null,https://www.inlaksfoundation.org/,monetary,"{'Others': 'https://doe.gov.in/files/cenetral-pay_document/HRA_Eng_1.pdf', 'Original website': 'https://www.inlaksfoundation.org/', 'Apply online link': 'https://inlaksfoundation.org/opportunities/fellowships/inlaks-shivdasani-fellowship-for-social-engagement/'}","Inlaks Shivdasani Foundation
Email ID:
fellowships@inlaksfoundation.org"
"Centrally Sponsored Pre-Matric Scholarship Scheme ST Students (Class 9 and 10), Ladakh 2024",ST students studying in Class 9 and 10,India,Closed,"A monthly scholarship up to ₹525 per month for 10 months and an ad-hoc grant of  up to ₹1,000","Centrally Sponsored Pre-Matric Scholarship Scheme ST Students (Class 9 and 10), Ladakh 2024 is an opportunity offered by the Ministry of Tribal Affairs, Government of India, and implemented through the Government of UT of Ladakh, for ST students of Class 9 and 10 of the state. The scholarship aims to improve the participation of ST children in Class 9 and 10, to improve their performance and increase their chances of progressing to the post-matric stage of education. The selected candidates will receive up to ₹525 per month for 10 months and an annual ad-hoc grant of up to ₹1,000.Source:National Scholarship Portal (NSP)",Null,Null,https://scholarships.gov.in/,monetary,"{'Latest scholarship link': 'https://scholarships.gov.in/public/schemeGuidelines/ladakh/ladakh_3022_G.pdf', 'Apply online link': 'https://scholarships.gov.in/', 'Others': 'https://scholarships.gov.in/public/schemeGuidelines/ladakh/ladakh_3022_F.pdf'}",Government of Union Territory of Ladakh
"Krishi Vidya Nidhi Yojana, Odisha 2024-25","Students pursuing professional courses at diploma, polytechnic, graduate, and post-graduate level",,Closed,"Academic allowance up to ₹66,000 per anum","Krishi Vidya Nidhi Yojana, Odisha 2024-25 is an opportunity provided by the Agriculture & FE Department, Government of Odisha, to the SC, ST, OBC, EBC, SEBC, and General category students of Odisha who are studying in polytechnic, diploma, graduate, postgraduate, and Ph.D. level. The selected students will receive variable awards.Source:State Scholarship Portal, Odisha",Null,Null,https://scholarship.odisha.gov.in/,monetary,"{'Latest scholarship link': 'https://file:///C:/Users/Buddy4Study/Downloads/6728a6c09079e1730717376.pdf', 'Original website': 'https://scholarship.odisha.gov.in/', 'Apply online link': 'https://scholarship.odisha.gov.in/website/scholarship-details'}","Department Of Agriculture And Farmers' Empowerment
Government of Odisha
Krushi Bhavan, Bhubaneswar, Odisha,
Pin Code: 751001"
"State Merit Scholarship for UG Girls Students, Haryana 2024-25",Class 12 passed female students of the state,India,Closed,"An annual scholarship of ₹3,000","State Merit Scholarship for UG Girls Students, Haryana 2024-25 an opportunity offered by the Directorate of Higher Education, Haryana to female students of the state who are pursuing general undergraduate degree courses. The selected candidates will receive ₹3,000 per annum.Source:Harchhatravratti",cru-sec.he@hry.gov.in,Null,https://harchhatravratti.highereduhry.ac.in/Index,monetary,"{'Apply online link': 'https://harchhatravratti.highereduhry.ac.in/Index', 'Latest scholarship link': 'https://harchhatravratti.highereduhry.ac.in/Notices/State%20Merit%20Scholarship%20To%20UG%20Girls.pdf'}","Directorate of Higher Education
Shiksha Sadan, Ground & 1st Floor, Sec - 5,
Panchkula, Haryana (134105)
Email ID:
cru-sec.he@hry.gov.in"
"Gargi Puraskar Yojana, Rajasthan 2024-25",Female students of Rajasthan studying in Class 11 and 12,India,Closed,"An annual scholarship of ₹3,000 for two years and a certificate","Gargi Puraskar Yojana, Rajasthan 2024-25is an initiative of the Balika Shiksha Foundation, Rajasthan (NGO), aimed at empowering and supporting the education of meritorious female students studying in Class 11 and 12. The scheme is applicable to students who have appeared in the Secondary/Senior Secondary Examination conducted by the Board of Secondary Education, Rajasthan, Ajmer, and the Swami Vivekananda Model School Secondary Examination. Selected candidates will receive financial assistance of ₹3,000 for two years and a certificate.Source:Raj Shaladarpan Portal",Null,Null,https://rajshaladarpan.nic.in/,mixed,"{'Latest scholarship link': 'https://rajshaladarpan.nic.in/SD1/BSP/Home/ShowFile.aspx?oid=67172f296b33512ec8e0146b', 'Apply online link': 'https://rajshaladarpan.nic.in/', 'Original website': 'https://rajshaladarpan.nic.in/'}","Balika Shiksha Foundation
Dr. S. Radhakrishnan Shiksha Sankul,
Jawahar Lal Nehru Marg
Jaipur, Rajasthan-302015"
