name,Eligibility,Region,Deadline,Award,Description,Email,Contact Number,link,category,Links,contactDetails
"Pm YASASVI Pre-Matric Scholarship Scheme For OBC EBC and DNT, Uttarakhand 2025-26","Other Backward Class (OBC), Economically Backward Class (EBC), and Denotified Nomadic Tribes (DNT) category students studying at the pre-matric level",India,30-Sep-2025,"An academic allowances of up to ₹10,000 and other benefits","PM Yasasvi Pre-Matric Scholarship Scheme for OBC, EBC and DNT, Uttarakhand 2025-26 is an opportunity offered by the Ministry of Tribal Affairs, Government of India, to students belonging to the Other Backwards Class (OBC), Economically Backwards Class (EBC), and Denotified, Nomadic Tribes (DNT) categories studying in Class 9 and 10 in government schools. Selected students will receive an academic allowance of up to ₹10,000 and other benefits.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Ministry of Tribal Affairs, Government of India"
"NSP Pre-Matric Scholarship For SC Students Component II (Class 1 - 10), Assam 2025",SC students of Assam studying in Classes 1 to 10,India,30-Sep-2025,"A consolidated academic allowance of up to ₹8,000 per annum","NSP Pre-Matric Scholarship For SC Students Component II (Class 1 - 10), Assam 2025 is an initiative of the Ministry of Social Justice and Empowerment, Government of India, to support pre-matric level education of SC students whose parent(s)/guardian(s) are engaged in manual scavenging, flaying, waste picking, or other hazardous health occupations. The selected candidates will receive a consolidated academic allowance of up to ₹8,000 per annum.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/,monetary,"{'Apply online link': 'https://scholarships.gov.in/', 'Media Link': 'https://www.buddy4study.com/scholarship/pre-matric-scholarship-for-sc-students-component-ii-assam'}","Ministry of Social Justice and Empowerment, Government of India
Room No. 637, A-Wing, Shastri Bhawan,
New Delhi - 110001"
"NSP Post-Matric Scholarship for OBC Students, Assam 2025-26",OBC students studying in Class 11 and above,India,30-Sep-2025,"Scholarships up to ₹20,000 and other benefits","Post-Matric Scholarship for OBC Students, Assam 2025-26 is an opportunity to provide financial support to students in Class 11 and above. The scheme is being offered by the Ministry of Social Justice and Empowerment and implemented by the Directorate of Welfare of Plain Tribes & Backwards Classes (DWPTBC), Government of Assam. Under this scheme, selected candidates will receive scholarships up to ₹20,000 and other benefits.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Ministry of Social Justice & Empowerment, Government of India
Room no. 202, 2nd floor C-wing,
Shastri Bhawan, New Delhi, Delhi-110001
Directorate of Welfare of Plain Tribes & Backward Classes (DWPTBC), Government of Assam
Satrinivash Path,Rukmini Nagar, Guwahati-6"
"NSP Pre-Matric Scholarship for OBC Students, Assam 2025-26",OBC students studying in Class 9 and 10,India,30-Sep-2025,"A consolidated academic allowance of ₹4,000 per annum","Pre-Matric Scholarship for OBC Students, Assam 2025-26 is an opportunity provided by the Ministry of Social Justice & Empowerment, Government of India, to provide financial assistance to Other Backwards Classes (OBC) category students of the state who are studying in Class 9 and 10. The selected students will receive a consolidated academic allowance of ₹4,000 per annum.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Ministry of Social Justice and Empowerment
A-Wing, Shastri Bhawan
New Delhi - 110001"
"NSP Pre-Matric Scholarship Scheme For SC Students (Class 9 & 10), Chandigarh 2025-26",SC students in Class 9 and 10,India,30-Sep-2025,Up to ₹525 per month for 10 months and other benefits,"NSP Pre-Matric Scholarship Scheme For SC Students (Class 9 & 10), Chandigarh 2025-26 is an initiative of the Ministry of Social Justice and Empowerment, Government of India. It provides financial assistance to SC students in Classes 9 and 10. The scholarship aims to support education and reduce dropout rates during the transition from elementary to secondary school. Selected students will receive a scholarship of up to ₹525 per month for 10 months and other benefits.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/,monetary,"{'Media Link': 'https://www.buddy4study.com/scholarship/pre-matric-scholarship-scheme-for-sc-students-of-class-ix-and-x-chandigarh', 'Apply online link': 'https://scholarships.gov.in/'}","Ministry of Social Justice & Empowerment, Government of India
Shri Bharat Lal Meena, Director
Room No. 637, A-Wing, Shastri Bhawan, New Delhi - 110001"
"NSP Pre-Matric Scholarship For SC Students Component II (Class 1 - 10), Assam 2025",SC students of Assam studying in Classes 1 to 10,India,30-Sep-2025,"A consolidated academic allowance of up to ₹8,000 per annum","NSP Pre-Matric Scholarship For SC Students Component II (Class 1 - 10), Assam 2025 is an initiative of the Ministry of Social Justice and Empowerment, Government of India, to support pre-matric level education of SC students whose parent(s)/guardian(s) are engaged in manual scavenging, flaying, waste picking, or other hazardous health occupations. The selected candidates will receive a consolidated academic allowance of up to ₹8,000 per annum.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/,monetary,"{'Apply online link': 'https://scholarships.gov.in/', 'Media Link': 'https://www.buddy4study.com/scholarship/pre-matric-scholarship-for-sc-students-component-ii-assam'}","Ministry of Social Justice and Empowerment, Government of India
Room No. 637, A-Wing, Shastri Bhawan,
New Delhi - 110001"
Nagaland State Research Scholarship 2025,ST and indigenous pursuing Ph.D./D.Litt.,India,30-Sep-2025,Financial assistance,"Nagaland State Research Scholarship 2025-26 is an initiative of the Directorate of Higher Education, Government of Nagaland, to provide financial assistance to students pursuing research-based courses like Ph.D. and D.Litt. at recognised universities within India. Selected students will receive financial assistance to pursue higher education.Source:scholarship.nagaland.gov.in",scholarshipnagaland@gmail.com,8929307387,https://scholarship.nagaland.gov.in/,other,"{'Media Link': 'https://www.buddy4study.com/scholarship/nagaland-state-research-scholarship', 'Apply online link': 'https://scholarship.nagaland.gov.in/'}","Directorate of Higher Education
Below New Secretariat Complex
Nagaland, Kohima-797001
Email ID:
scholarshipnagaland@gmail.com |
Phone Number:
(+91) 8929307387"
Nagaland State Merit Scholarship 2025,Non-indigenous inhabitants in Class 11 to postgraduate level,India,30-Sep-2025,Financial assistance,"Nagaland State Merit Scholarship 2025-26 is an initiative of the Department of Higher Education, Nagaland, for students in Class 11 and above. It aims to improve literacy and education levels by providing financial assistance to selected students.Source:scholarship.nagaland.gov.in",scholarshipnagaland@gmail.com,8929307387,https://scholarship.nagaland.gov.in/,other,"{'Apply online link': 'https://scholarship.nagaland.gov.in/', 'Media Link': 'https://www.buddy4study.com/scholarship/nagaland-state-merit-scholarship'}","Directorate of Higher Education
Below New Secretariat Complex
Nagaland, Kohima-797001
Email ID:
scholarshipnagaland@gmail.com |
Phone Number:
(+91) 8929307387"
"NSP Centrally Sponsored Scheme Of Pre-Matric Scholarship For SC Students (Class 9 and 10), Jammu and Kashmir 2025",Scheduled Caste (SC) students of the state studying in Class 1 to 10,India,15-Oct-2025,"A consolidated academic allowance of up to ₹8,000 per annum","NSP Centrally Sponsored Scheme Of Pre-Matric Scholarship For SC Students (Class 9 and 10), Jammu and Kashmir 2025 is an initiative of the Department of Social Justice & Empowerment, Government of India, for SC community students of Jammu and Kashmir who are studying in Class 1 to 10. The objective of this scheme is to support the education of SC students to eliminate the incidence of dropout, especially during the transition from elementary to the secondary stage. Selected candidates will receive a consolidated academic allowance of up to ₹8,000 per annum.Source:scholarships.gov.in",Null,Null,http://scholarships.gov.in/,monetary,{'Apply online link': 'http://scholarships.gov.in/'},"Department of Social Justice & Empowerment, Government of India
Room No. 637, A-Wing,
Shastri Bhawan, New Delhi - 110001"
"NSP Centrally Sponsored Scheme Of Post-Matric Scholarship For SC Students, Jammu and Kashmir 2025",SC students studying in Class 11 and above,India,15-Oct-2025,"An annual academic allowance up to ₹13,500 and other benefits","NSP Centrally Sponsored Scheme of Post-Matric Scholarship for SC Students, Jammu and Kashmir 2025, is an opportunity offered by the Ministry of Social Justice and Empowerment, Government of India, for SC students pursuing studies at the post-matric level (Class 11 to postgraduate). The scholarship aims to increase higher education participation and facilitate the educational success of disadvantaged SC students by providing financial assistance for post-matric studies. Selected candidates will receive an annual academic allowance of up to ₹13,500, along with other benefits.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Ministry of Social Justice & Empowerment, Government of India
Shri Bharat Lal Meena, Director
Room No. 637, A-Wing, Shastri Bhawan, New Delhi - 110001"
Dr. Reddy's Foundation Sashakt Scholarship 2025,"Female students applying for B.Sc. in Natural/Pure Sciences, B.Tech., or M.B.B.S. degree programmes",India,30-Oct-2025,"₹80,000 per year for 3 years","Dr. Reddy's Foundation Sashakt Scholarship 2025 is an initiative of the Dr. Reddy's Foundation (NGO) that empowers female students in India who have passed Class 12 and are willing to pursue B.Sc. in Natural/Pure Sciences, B.Tech., or M.B.B.S. degree programmes in one of the specified institutions. The scholarship aims to encourage young women across India and provide an opportunity for female students, especially from rural India and low socio-economic backgrounds, to get access to quality education in some of India’s best science institutions by offering financial support and mentorship throughout their undergraduate studies. Selected scholars will receive a scholarship of ₹2,40,000 i.e.₹80,000 per annum for three years of study.Source:sashaktscholarship.org",info@sashaktscholarship.org,Null,https://www.sashaktscholarship.org/,monetary,"{'Latest scholarship link': 'http://www.sashaktscholarship.org/aboutus/#the-sashakt-scholarship', 'Apply online link': 'https://www.sashaktscholarship.org/how-to-apply/', 'Media Link': 'https://www.buddy4study.com/scholarship/sashakt-scholarship', 'Original website': 'https://www.sashaktscholarship.org/'}","Dr. Reddy's Foundation
6-3-655/12, Somajiguda,
Hyderabad - 500082
Email ID:
info@sashaktscholarship.org
|
Phone Number:
(+91 40) 48562041, 23319697"
"Pre-Matric Scholarship For General, Minorities, SC, ST, And OBC, Uttar Pradesh 2025",Class 9 and 10 students,,30-Oct-2025,"Up to ₹8,000 per year","The Pre-Matric Scholarship For General, Minorities, SC, ST, And OBC, Uttar Pradesh 2025 is offered by the Government of Uttar Pradesh. It aims to provide financial support to meritorious and needy students pursuing their studies in school and encourage them to complete matriculation. Selected candidates will receive up to ₹8,000 per year.Source:scholarship.up.gov.in",Null,Null,https://scholarship.up.gov.in/,monetary,{'Apply online link': 'https://scholarship.up.gov.in/'},"Government of Uttar Pradesh
Phone Number:
(0522) 3538700, 2288861, 2286150"
Central Sector Scheme of Scholarship for College and University Students 2025-26,Class 12 passed students,India,31-Oct-2025,"Up to ₹20,000 per annum","Central Sector Scheme of Scholarship for College and University Students 2025-26 is an opportunity to provide financial assistance to meritorious students from economically disadvantaged backgrounds for higher education. Administered through the National Scholarship Portal (NSP) by the Ministry of Education, this scheme aims to help students meet some of their day-to-day expenses while pursuing higher studies. Successful applicants will receive an annual scholarship of up to ₹20,000.Source:scholarships.gov.in",sonationalscholarship@gmail.com,Null,https://scholarships.gov.in/,monetary,"{'Media Link': 'https://www.buddy4study.com/scholarship/central-sector-scheme-of-scholarship-for-college-and-university-students', 'Apply online link': 'https://scholarships.gov.in/'}","National Scholarship Division Department of Higher Education,
Ministry of Education,
West Block 1, 2nd Floor, Wing 6,
Room No. 6, R. K. Puram,
Sector - 1, New Delhi - 110066
Email ID:
sonationalscholarship@gmail.com
| Phone Number:
(011) 20862360"
National Fellowship and Scholarship for Higher Education of ST Students (NFST) 2025-26,ST students pursuing Graduate/Postgraduate/M.Phil. or Ph.D. degree courses,India,31-Oct-2025,"A fellowship up to ₹35,000 along with an annual contingency grant up to ₹25,000 | Full tuition fees and admission fees along with other benefits","National Fellowship and Scholarship for Higher Education of ST Students (NFST) 2025-26 is a scheme offered by the Ministry of Tribal Affairs, Government of India. The objective of the scheme is to promote higher education among Scheduled Tribe (ST) students and encourage them to pursue careers in professional and research fields. There are two opportunities under this schemeNational Fellowship Scheme:This fellowship is for students who have completed their Master's degree and want to pursue M.Phil or Ph.D. courses. Selected students will receive a fellowship of up to ₹35,000 along with an annual contingency grant of up to ₹25,000.National Scholarship Scheme:This scholarship scheme is for students who want to pursue graduate or postgraduate courses in top-class government and non-government institutes in professional fields such as Management, Medicine, Engineering, Information Technology, Law, etc. Selected students will receive full tuition fees and admission fees, along with other benefits.",rama.p@nic.in,Null,https://scholarships.gov.in/public/schemeGuidelines/tribalfellowshipguideline.pdf,mixed,"{'Media Link': 'https://www.buddy4study.com/scholarship/national-fellowship-and-scholarship-for-higher-education-of-st-students-nfst', 'Apply online link': 'https://scholarships.gov.in/public/schemeGuidelines/tribalfellowshipguideline.pdf'}","Ms. Rama, Consultant
Ministry of Tribal Affairs
Rajendra Prasad Road,Shastri Bhawan,
New Delhi-110001
Email ID:
rama.p@nic.in |
Contact Number:
(011) 23345770"
NSP NEC Merit Scholarship 2025-26,Students from NER states pursuing  higher education at Indian institutions,India,31-Oct-2025,"Up to ₹30,000 per annum","NEC Merit Scholarship for Students of NER 2025-26 is an opportunity offered by the North Eastern Council (NEC), Ministry of Development of North Eastern Region, to provide financial assistance to meritorious students from the North Eastern Region (NER) of India for pursuing higher professional courses in recognised Indian institutions. Selected candidates will receive up to ₹30,000 per annum.Source:scholarships.gov.in",mgnsl@nic.in,Null,https://scholarships.gov.in/home,monetary,"{'Media Link': 'https://www.buddy4study.com/scholarship/nsp-nec-merit-scholarship', 'Apply online link': 'https://scholarships.gov.in/home'}","Shri Ajay Parashar, Director IPR
DIPR, NEC Secretariat, Nongrim Hills
Shillong-793003
Email ID:
mgnsl@nic.in
| Phone Number:
(0364) 2522662"
NSP Central Sector Scholarship of Top Class Education for SC Students 2025-26,Class 12 passed SC students,India,31-Oct-2025,"An allowance of ₹86,000 in the first year of study & ₹41,000 in every subsequent year","NSP Central Sector Scholarship of Top Class Education for SC Students 2025-26 is an initiative of the Ministry of Social Justice and Empowerment, Government of India, for SC students pursuing or admitted to undergraduate or postgraduate studies in any discipline. The scheme recognises and promotes quality education beyond Class 12 among Scheduled Caste (SC) students. Selected candidates will receive an academic allowance of ₹86,000 in the first year of study & ₹41,000 in every subsequent year to cover other expenses.Source:scholarships.gov.in",helpdesk@nsp.gov.in,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Ministry of Social Justice & Empowerment,
Shastri Bhawan
New Delhi - 110001
Email ID:
helpdesk@nsp.gov.in |
Phone Number:
(0120) 6619540"
"NSP Financial Assistance For Education To The Wards Of Beedi/Cine/Iomc/Lsdm, Post-Matric 2025-26","Class 11, 12, diploma, UG and PG degree students",India,31-Oct-2025,"Up to ₹25,000 per annum","NSP Financial Assistance For Education To The Wards Of Beedi/Cine/Iomc/Lsdm, Post-Matric 2025-26 is an opportunity provided by the Ministry of Labour and Employment, Government of India, to provide financial help to students from Class 11 to postgraduate level to continue their education at any government institution or university. These students must be children of workers in the Beedi, Cine, Iron Ore Mines, Manganese Ore & Chrome Ore Mines, Limestone & Dolomite Mines, or Mica Mines sectors. The main aim of this scheme is to prevent children from working in hazardous industries. Selected candidates will receive financial assistance up to ₹25,000 per annum.Source:scholarships.gov.in",helpdesk@nsp.gov.in,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Ministry of Labour & Employment, Government of India
Shram Shakti Bhawan Rafi Marg.
New Delhi - 110001
Email ID:
helpdesk@nsp.gov.in |
Phone Number:
(0120) 6619540"
"PM YASASVI Central Sector Scheme of Top Class Education in College for OBC, EBC and DNT Students, 2025-26",Class 12 passed OBC/EBC/DNT students,India,31-Oct-2025,"Reimbursement of tuition fee and non-refundable charges up to ₹3,72,000 and other benefits","PM Yasasvi Central Sector Scheme of Top Class Education in College for OBC, EBC and DNT Students, 2025-26 is an opportunity offered by the Ministry of Social Justice and Empowerment, Government of India, for students pursuing studies beyond Class 12. The scheme aims to recognise and promote quality education among Other Backwards Classes (OBC), Economically Backwards Classes (EBC) and Denotified Tribes (DNT) students by providing financial support. The selected students will receive full tuition fees and non-refundable charges, monthly living expenses of ₹3,000 and other benefits.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/,mixed,{'Apply online link': 'https://scholarships.gov.in/'},"Ministry of Social Justice and Empowerment, Government of India
Room No. 637, A-Wing, Shastri Bhawan
New Delhi - 110001"
"NSP Centrally Sponsored Scheme of Pre-Matric Scholarship for ST Students (Class 9 & 10), Goa 2025-26",ST students of Goa studying in Class 9 and 10,India,31-Oct-2025,"An annual scholarship of up to ₹5,250 and other grants","NSP Centrally Sponsored Scheme of Pre-Matric Scholarship for ST Students (Class 9 & 10), Goa 2025-26 is an opportunity provided by the Ministry of Tribal Affairs, Government of India, to provide financial assistance to Scheduled Tribe (ST) students in Goa who are enrolled in Classes 9 or 10. The scholarship aims to support these students' education and reduce dropout rates as they transition from elementary to secondary school. Selected candidates will receive a scholarship of up to ₹5,250 per annum and other grants.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/home,monetary,{'Apply online link': 'https://scholarships.gov.in/home'},"Ministry of Tribal Affairs, Government of India
Rajendra Prasad Road, Shastri Bhawan
New Delhi - 110001"
NSP Prime Minister's Scholarship Scheme For Ministry of Railways 2025-26,Wards of ex-serving and serving RPF/RPSF personnel,India,31-Oct-2025,"A monthly scholarship of ₹3,000 for females and ₹2,500 for males","The NSP Prime Minister's Scholarship Scheme for Ministry of Railways 2025-26 is an opportunity that provides financial assistance to the wards of ex-serving and serving Railway Protection Force (RPF) or Railway Protection Special Force (RPSF) personnel, below the rank of gazetted officer. The scheme aims to encourage higher technical and professional education among these wards. Selected students will receive a monthly scholarship of ₹3,000 for females and ₹2,500 for males.Source:scholarships.gov.in",ajeet.singh11@gov.in,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Mr. Ajeet Singh, Section Officer/Sec(Spl) Security Dte./Railway
Board, Rail Bhawan, New Delhi
Email ID:
ajeet.singh11@gov.in
| Phone Number:
(011) 23303283, 23041532, 03043283"
Amity University Scholarship 2025,Students willing to pursue UG and PG studies at Amity University,India,31-Oct-2025,Scholarship of up to 100% tuition fee waiver,"Amity University Scholarship 2025 is an initiative by the Amity University to support meritorious students aspiring to pursue undergraduate (UG) and postgraduate (PG) programs at the university. This scholarship program aims to recognise and reward academic excellence by offering deserving students the opportunity to access world-class education at AMITY. The selected students will receive a scholarship of up to a 100% tuition fee waiver, depending on their academic performance.About Amity UniversityAmity University was established by the Ritnand Balved Education Foundation (a non-profit organisation) in 2005. It is a Private Research University founded by Dr. Ashok K. Chauhan (industrialist and entrepreneur).Source: Amity University",admissions@amity.edu,+91 8448396303,https://amity.edu/,mixed,"{'Others': 'https://amity.edu/pdf/Amity_University_Scholarship_Policy.pdf', 'Apply online link': 'https://amity.edu/noida/how-to-apply.aspx', 'Original website': 'https://amity.edu/', 'Latest scholarship link': 'https://amity.edu/admissions-scholarship.aspx'}","Amity University
Noida Campus
Sector-125, Noida - 201313
Uttar Pradesh
Email ID:
admissions@amity.edu
| Phone Number:
+91 8448396303"
"Dr. Ambedkar Medhavi Chatravriti Yojana for SC Students, Himachal Pradesh 2025-26",Class 10 passed students,India,31-Oct-2025,"₹ 12,000 per annum","Dr. Ambedkar Medhavi Chatravriti Yojana for SC Students, Himachal Pradesh 2025-26 is an initiative of the Government of Himachal Pradesh to financially help the meritorious students of the SC category who have passed Class 10. The students must have taken admission in Class 11 or in any professional/technical courses. The selected scholars will receive ₹12,000 per annum for two successive years.Source:scholarships.gov.in",group1-hp@nic.in,77 2622204,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Government of Himachal Pradesh
HP Secretariat, Shimla
Email ID:
group1-hp@nic.in |
Phone Number -
(+911) 77 2622204"
"Umbrella Scheme Pre-Matric Scholarship For ST Students (Class 9 & 10), Meghalaya 2025",ST Students studying in Class 9 and 10,India,31-Oct-2025,"An annual scholarship of up to ₹5,250 and other grants","Umbrella Scheme Pre-Matric Scholarship For ST Students (Class 9 & 10), Meghalaya 2025 is an opportunity provided by the Ministry of Tribal Affairs, Government of India, to provide financial assistance to Scheduled Tribe (ST) students who are enrolled in Classes 9 or 10. The scholarship aims to support these students' education and reduce dropout rates as they transition from elementary to secondary school. Selected candidates will receive a scholarship of up to ₹5,250 per annum and other grants.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Ministry of Tribal Affairs, Government of India
Rajendra Prasad Road, Shastri Bhawan
New Delhi - 110001"
"NSP Post-Matric Scholarship for SC Students, Meghalaya 2025-26",SC students of Class 11 and above,India,31-Oct-2025,"An annual academic allowance of up to ₹13,500 and other benefits","Post-Matric Scholarship for SC Students, Meghalaya 2025-26 is an opportunity offered by the Ministry of Social Justice and Empowerment, Government of India. It is implemented through the National Scholarship Portal (NSP) and aims to help SC students from low-income families continue their higher education. Selected candidates will receive an annual academic allowance of up to ₹13,500 and other benefits.Source:scholarship.gov.in",Null,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Ministry of Social Justice & Empowerment, Government of India
Room no. 202, 2nd floor C-wing,
Shastri Bhawan, New Delhi, Delhi-110001"
"Umbrella Scheme Post-Matric Scholarship for ST Students, Meghalaya 2025-26",ST students studying in Class 11 and above,India,31-Oct-2025,"Monthly maintenance allowance of up to ₹1,200 and other benefits","Umbrella Scheme Post-Matric Scholarship for ST Students, Meghalaya 2025-26 is an opportunity provided by the Ministry of Tribal Affairs, Government of India, to students studying in classes 11 and above in recognised institutions in Meghalaya. The scholarship aims to financially support the study of needy students belonging to the Scheduled Tribe (ST) category. The selected students will receive a monthly maintenance allowance of up to ₹1,200 and other benefits.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Ministry of Tribal Affairs, Government of India
Rajendra Prasad Road,Shastri Bhawan
New Delhi - 110001"
"PM Yasasvi Pre-Matric Scholarship For OBC, EBC, and DNT Students, Sikkim 2025-26","Other Backward Class (OBC), Economically Backward Class (EBC), and Denotified Nomadic Tribes (DNT) category students studying at the pre-matric level",India,31-Oct-2025,"An academic allowances of up to ₹10,000 and other benefits","PM Yasasvi Pre-Matric Scholarship For OBC, EBC, and DNT Students, Sikkim 2025-26 is an opportunity offered by the Ministry of Tribal Affairs, Government of India, to students belonging to the Other Backwards Class (OBC), Economically Backwards Class (EBC), and Denotified, Nomadic Tribes (DNT) categories studying in Class 9 and 10 in government schools. Selected students will receive an academic allowance of up to ₹4,000 per annum.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/home,monetary,{'Apply online link': 'https://scholarships.gov.in/home'},"Ministry of Tribal Affairs, Government of India"
"NSP Pre-Matric Scholarship for SC Students (Class 9 & 10), Sikkim 2025",SC Students of Class 9 and 10,India,31-Oct-2025,"A consolidated academic allowance up to ₹7,000 per annum and an extra allowance for disabled students","Pre-Matric Scholarship for SC Students (Class 9 & 10), Sikkim 2025 is an initiative of the Ministry of Social Justice & Empowerment, Government of India, to provide financial assistance to Scheduled Caste (SC) students who are studying in Class 9 and 10. The key objective of the scholarship is to minimise the incidence of dropout among the SC category of students in the transition from elementary to the secondary stage. The selected students will receive a consolidated academic allowance of up to ₹7,000 per annum and an extra allowance for disabled students.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Department of Social Justice & Empowerment
Room No. 637, A-Wing, Shastri Bhawan
New Delhi - 110001"
"PM Yasasvi Post-Matric Scholarship for OBC, EBC, and DNT Students, Sikkim 2025",OBC/EBC/DNT category students of Sikkim studying at post-matric level,India,31-Oct-2025,"An annual academic allowance and tuition fees of up to ₹20,000","PM Yasasvi Post-Matric Scholarship for OBC, EBC, and DNT Students, Sikkim 2025 is an opportunity offered by the Department of Social Justice & Empowerment, Government of India. The scheme aims to provide financial assistance to students belonging to the OBC, EBC, and DNT communities of the state and studying at the post-matric level of education. The selected candidates will receive an annual academic allowance and tuition fees of up to ₹20,000.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/,mixed,{'Apply online link': 'https://scholarships.gov.in/'},"Department of Social Justice & Empowerment, Government of India
Room no. 202, 2nd floor C-wing
Shastri Bhawan, New Delhi, Delhi-110001"
"NSP Centrally Sponsored Post-Matric Scholarship to SC Students, Sikkim 2025",SC students studying in Class 11 and above,India,31-Oct-2025,"An annual academic allowance up to ₹13,500 and other benefits","Post-Matric Scholarship to SC Students, Sikkim 2025 is an opportunity offered by the Government of India through the Ministry of Social Justice and Empowerment, administered by the Department of Social Welfare, Government of Sikkim. This scholarship is available to Scheduled Caste (SC) state students pursuing studies beyond the matriculation level, including Class 11 to the postgraduate level. Selected candidates will receive an annual academic allowance of up to ₹13,500and other benefits.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Ministry of Social Justice & Empowerment, Government of India
Shri Bharat Lal Meena, Director
Room No. 637, A-Wing, Shastri Bhawan, New Delhi - 110001"
"PM Yasasvi Pre-Matric Scholarship for OBC Students, Manipur 2025-26",Class 9 & 10 students of Manipur,India,30-Nov-2025,"A consolidated academic allowance of ₹4,000 per annum","PM Yasasvi Pre-Matric Scholarship for OBC Students, Manipur 2025-26 is an opportunity provided by the Ministry of Social Justice and Empowerment, Government of India, for Other Backwards Classes (OBC) students of Manipur. The scholarship aims to provide an opportunity for educational empowerment to socio-economically disadvantaged classes. Selected students will receive a consolidated academic allowance of ₹4,000 per annum.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Ministry of Social Justice & Empowerment, Government of India
Room no. 202, 2nd floor C-wing,
Shastri Bhawan, New Delhi, Delhi-110001"
"PM Yasasvi Post-Matric Scholarship for OBC Students, Manipur 2025-26",OBC students studying in post-matriculation or post-secondary courses,India,30-Nov-2025,"An annual academic allowance and tuition fees of up to ₹10,000","PM Yasasvi Post-Matric Scholarship for OBC Students, Manipur 2025-26 is an initiative of the Department of Empowerment of Scheduled Castes & Scheduled Tribes, Ministry of Social Justice and Empowerment, Government of India, to financially support Other Backwards Classes (OBC) students from Manipur. The scheme aims to help OBC students in Manipur complete their post-matriculation education. Selected candidates will receive an annual academic allowance and tuition fees of up to ₹10,000 each.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/,mixed,{'Apply online link': 'https://scholarships.gov.in/'},"Ministry of Social Justice and Empowerment, Government of India
Shri Bharat Lal Meena, Director
Room No. 637, A-Wing,
Shastri Bhawan, New Delhi - 110001"
"NSP Pre-Matric Scholarship for SC Students Studying In Classes 9 and 10, Goa 2025-26",SC Students of Class 9 and 10,India,30-Nov-2025,"A consolidated academic allowance up to ₹7,000 per annum and an extra allowance for disabled students","Pre-Matric Scholarship for SC Students Studying In Classes 9 and 10, Goa 2025-26 is an initiative of the Ministry of Social Justice & Empowerment, Government of India, to provide financial assistance to Scheduled Caste (SC) students who are studying in Class 9 and 10. The key objective of the scholarship is to minimise the incidence of dropout among the SC category of students in the transition from elementary to the secondary stage. The selected students will receive a consolidated academic allowance of up to ₹7,000 per annum and an extra allowance for disabled students.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Department of Social Justice & Empowerment
Room No. 637, A-Wing, Shastri Bhawan
New Delhi - 110001"
"NSP Post-Matric Scholarship for SC, Goa 2025-26",Scheduled Caste (SC) students of the state studying in Class 11 and above,India,30-Nov-2025,"An academic allowance of up to ₹13,500 per annum and other benefits","Post-Matric Scholarship for SC, Goa 2025-26 is an initiative of the Ministry of Social Justice and Empowerment, Government of India, for Scheduled Caste (SC) category students of the state studying at the post-matriculation or post-secondary level. Selected students will receive an academic allowance of up to ₹13,500 per annum and other benefits.Source:scholarships.gov.in",Null,Null,https://scholarships.gov.in/,monetary,{'Apply online link': 'https://scholarships.gov.in/'},"Ministry of Social Justice and Empowerment, Government of India
Room No. 637, A-Wing, Shastri Bhawan,
New Delhi - 110001"
